Publication Date,Title,Acronym,Venue,Pre-training Objective,Automation Object/Training Strategy,Prompt Length (soft prompts),Prompt Initialization Strategy (soft prompts),PLMs,Datasets,Tasks,Code,Additional Notes
2024-04-11,Enhancing Zero-Shot Stance Detection with Contrastive and Prompt Learning,EZSD-CP,Entropy,Cloze,Non PEFT,--,--,"BERT-base, RoBERTa","VAST, SEM16",Stance Detection,--,--
2024-04-18,Knowledge-Enhanced Prompt Learning for Few-Shot Text Classification,SKPT,Big Data and Cognitive Computing,Cloze,CD,--,--,RoBERTa-large,"AG News, DBpedia",Classification,--,--
2024-04-19,ConsPrompt: Exploiting Contrastive Samples for Fewshot Prompt Learning,ConsPrompt,ICASSP,Cloze,Non PEFT,--,--,RoBERTa-large ,"TREC, SST-2, SST-5, QNLI, SNLI","Classification, Text Entailment",https://github.com/Nagin-Kim/cosprompt,--
2024-05-13,HetGpt: Harnessing the Power of Prompt Tuning in Pre-Trained Heterogeneous Graph Neural Networks,HetGPT,ACM,Node,PEFT,"1, 5, 10, 15, 20",Kaiming initialization,"HAN, MAGNN, HGT","ACM, DBLP, IMDB",Node Classification,--,--
2024-05-17,Adapting LLMs for Efficient Context Processing through Soft Prompt Compression,SPC-LLM,ACM CMNM,Prefix,Non PEFT,--,--,Claude2,"CNN/Daily Mail, SST-2, AG News, SQuAD v2.0","Summarization, QA, Sentiment Analysis, Classification",--,--
2024-05-17,Can we Soft Prompt LLMs for Graph Learning Tasks?,GraphPrompter,WWW,Prefix,PEFT,--,--,LLAMA2-7B,"Cora, Citeseer, Pubmed, Ogbn-arxiv, Ogbn-products","Node Classification, Link Prediction",https://github.com/franciscoliu/graphprompter,--
2024-05-24,KBPT: knowledge-based prompt tuning for zero-shot relation triplet extraction,KBPT,PeerJ Computer Science,Cloze,Non PEFT,4,Words with relational semantics generated from the relation label,"BERT-base, BERT-large","FewRel, NYT, TACRED-Revisit, Wiki-ZSL",Information Extraction,https://github.com/Phevos75/KBPT,--
2024-06-14,G-SAP: Graph-based Structure-Aware Prompt Learning over Heterogeneous Knowledge for Commonsense Question Answering,G-SAP,ICMR ,Prefix,PEFT,"4, 8, 12, 16, 20. 24",They used the embeddings of the entities and relations (extracted from a GNN),"RoBERTa-large, AristoRoBERTa, RoBERTa-xlarge","Commonsense-QA, OpenbookQA, PIQ",Commonsense QA,--,--
2024-06-18,Graph‑Enhanced Prompt Learning for Personalized Review Generation,GRAPA,Data Science and Engineering ,Prefix,Non PEFT,4,Random,"BERTopic, GPT-2","TripAdvisor, Amazon, Yelp",Text Generation,--,--
2024-06-18,Multi-Relation Extraction for Cybersecurity Based on Ontology Rule-Enhanced Prompt Learning,--,Electronics (Switzerland),Cloze,Non PEFT,3,Random,BERT ,"TACRED, ReTACRED, Created",NER,--,--
2024-06-21,A Rumors Detection Method Using T5-Based Prompt Learning,PLRD,IJDWM,Cloze,TD,--,--,T5,"X, Weibo ",Rumor Information Detection,--,--
2024-07-10,Meta Soft Prompting and Learning,--,APSIPA,Cloze,PEFT,"2, 20",Random,BERT,"Amazon Review, FDU-MTL ",Classification,https://github.com/NYCU-MLLab/Domain-Agnostic-Soft-Prompt,--
2024-08-12,Prompt Tuning on Graph-Augmented Low-Resource Text Classification,G2P2,IEEE Transactions on Knowledge and Data Engineering,Cloze,PEFT,"2, 4, 8, 16, 32",Graph embeddings,"BERT, RoBERTa","Cora, Amazon Reviews",Classification,--,--
2024-08-23,Prompt learning for metonymy resolution: Enhancing performance with internal prior knowledge of pre-trained language models,PromptMR-CTC,Knowledge-Based Systems,Cloze,Non PEFT,7,"Random initialization, PLM word embedding initialization",T5-base,"SemEval, ReLocaR, CoNLL",Metonymy Resolution,https://github.com/albert-jin/PromptTuning2MetonymyResolution,--
2024-10-14,Prompt Tuning for Item Cold-start Recommendation,PROMO,ACM,Cloze,PEFT,,,SASRec ,"MovieLens 100K, MovieLens 1M, KuaiRand, TMall",Item recommendation,https://github.com/PROMOREC/PROMO,--
2024-10-14,PromSec: Prompt Optimization for Secure Generation of Functional Source Code with Large Language Models (LLMs),PromSec,CCS,Prefix,PEFT,--,Manually  crafted,"GPT-3.5 Turbo, GPT-4, CodeLlama-70B-Instruct, Bard","MITRE, CodeQL, Created",Secure code generation,https://github.com/mahmoudkanazzal/PromSec,--
2024-10-23,Knowledge-injected Prompt Learning for Chinese Biomedical Entity Normalization,PL-Knowledge,ACM Transactions on Computer Systems,Cloze,Non PEFT,2,Random,MC-BERT,CHIP 2019,Biomedical Entity Normalization,--,--
2024-11-01,RPEPL: Tibetan Sentiment Analysis Based on Relative Position Encoding and Prompt Learning,RPEPL,ACM,Cloze,PEFT,15,--,"Tibetan-Roberta-Base, Tibetan-Alpaca-7B","TUSA, TNEC",Sentiment Analysis,--,--
2022-02-19,Commonsense Knowledge-Aware Prompt Tuning for Few-Shot NOTA Relation Classification,CKPT,Applied Sciences,Cloze,HC,--,--,BERT,"FewRel 2.0, Few-shot TACRED",Relation Classification,--,--
2022-05-27,Prompt Tuning for Discriminative Pre-trained Language Models,DPT,ACL,Cloze,HC,--,--,ELECTRA,"SST-2, SST-5, TREC, AGNews, QUOREF","Classification, QA",https://github.com/thunlp/DPT,--
2022-06-01,Chinese Spam Detection Based on Prompt Tuning,--,SEKE ,Cloze,HC,--,--,ERNIE,"Trec06, microblogPCU",Spam Detection,--,--
2022-07-01,CUP: Curriculum Learning based Prompt Tuning for Implicit Event Argument Extraction,CUP,IJCAI,Prefix,HC,--,--,BART,"RAMS, WikiEvents",Argument Extraction,https://github.com/linmou/CUP,--
2022-07-01,Enhancing Entity Representations with Prompt Learning for Biomedical Entity Linking,--,IJCAI,Cloze,HC,--,--,"SAPBERT, PubMedBERT","MedMentions, NCBI Disease",Entity Linking,https://github.com/TiantianZhu110/BioPRO,--
2022-09-08,Chemical-Protein Relation Extraction with Pre-trained Prompt Tuning,--,IEEE ICHI ,Cloze,HC,--,--,"BERT, BioBERT, BlueBERT",BioCreative VI CHEMPROT,Relation Extraction,--,--
2022-10-10,PRCBERT: Prompt Learning for Requirement Classification using BERT-based Pretrained Language Models,PRCBERT,IEEE/ACM ASE,Cloze,HC,--,--,"BERT-base, BERT-large, RoBERTa-base, RoBERTa-large","PROMISE, NFR-Review, NFR-SO",Classification,--,--
2022-10-14,Prompt Tuning for Multi-Label Text Classification: How to Link Exercises to Knowledge Concepts?,PTMLTC,Applied Sciences (Switzerland),Cloze,HC,--,--,"TextCNN, TagBert, BertFGM",Exercises–Concepts dataset of the Data Structure course,Classification,--,--
2023-04-30,A Dual Prompt Learning Framework for Few-Shot Dialogue State Tracking,--,WWW,Cloze,HC,--,--,SOLOIST,MultiWOZ 2.0,Dialogue State Tracking,https://github.com/YANG-Yuting/DPL,--
2023-05-18,"Translating radiology reports into plain language using ChatGPT and GPT-4 with prompt learning: results, limitations, and potential",--,"Visual Computing for Industry, Biomedicine, and Art",Prefix,HC,--,--,ChatGPT with GPT-4,Atrium Health Wake Forest Baptist clinical database,Text Simplification,--,--
2023-06-04,Exploiting Prompt Learning with Pre-Trained Language Models for Alzheimer's Disease Detection,--,ICASSP ,Cloze,HC,--,--,"BERT, RoBERTa",ADReSS20 Challenge ,Disease Detection,--,--
2023-06-26,Matching Exemplar as Next Sentence Prediction (MeNSP): Zero-Shot Prompt Learning for Automatic Scoring in Science Education,MeNSP,AIED ,Cloze,HC,--,--,BERT,They choose a subset of an existing dataset of argumentation items [Assessing argumentation using machine learning and cognitive diagnostic modeling. Research in Science Education] for our experiments.,Automatic Scoring,https://github.com/JacksonWuxs/MeNSP,--
2023-07-01,A Medical Question Classification Approach Based on Prompt Tuning and Contrastive Learning,--,SEKE ,Cloze,HC,--,--,ERNIE 3.0,Created,Classification,--,--
2023-07-01,HGAPT: Heterogeneous Graph Augmented Prompt Tuning for Low-Resource Fake News Detection,HGAPT,SEKE ,Cloze,HC,--,--,ERNIE,"LIAR, PolitiFactFewShot",Fake News Detection,--,--
2023-07-14,Emotion classification on code-mixed text messages via soft prompt tuning,--,WASSA ,Cloze,HC,--,--,XLM-RoBERTa,CM-MEC-21,Emotion classification,--,--
2023-07-19,A Unified Generative Retriever for Knowledge-Intensive Language Tasks via Prompt Learning,UGR,SIGIR,Prefix,HC,--,--,BART,KILT,Information Retrieval,https://github.com/ict-bigdatalab/UGR,--
2023-07-19,Prompt Learning for News Recommendation,Prompt4NR,SIGIR,Cloze,HC,--,--,"BERT-base, RoBerta and DeBerta",MIND,News recommendation,https://github.com/resistzzz/Prompt4NR,--
2023-07-19,Prompt Learning to Mitigate Catastrophic Forgetting in Cross-lingual Transfer for Open-domain Dialogue Generation,--,SIGIR,Prefix,HC,--,--,mT5,MDIA,Text Generation,https://github.com/JeremyLeiLiu/XLinguDial,--
2023-07-27,A Prompt Learning Based Intent Recognition Method on a Chinese Implicit Intent Dataset CIID,CIID,Neural Processing Letters,Cloze,HC,--,--,BERT-base-chinese,CIID,Intent Recognition,--,--
2023-07-30,Prompt Learning with Structured Semantic Knowledge Makes Pre-Trained Language Models Better,KLAPrompt,Electronics (Switzerland),Cloze,HC,--,--,"BERT, RoBERTa, MacBERT, MC-BERT, MedBERT, SMedBERT","STS-B, Book Review, XNLI, Chnsenticorp, IFLYTEK, CMeIE, CHIP-CDN, CHIP-CTC, KUAKE-QQR, KUAKE-QTR","Relation Extraction, Text Classification, Sentence Similarity Estimation",--,--
2023-08-06,Medical text classification based on the discriminative pre-training model and prompt-tuning,--,Digital Health,Cloze,HC,--,--,ERNIE-Health,"KUAKE-QIC, CHIP-CTC, CBLUE",Classification,--,--
2023-08-30,ConKgPrompt: Contrastive Sample Method Based on Knowledge-Guided Prompt Learning for Text Classification,ConKgPrompt,Electronics (Switzerland),Cloze,HC,--,--,ERNIE 3.0,"THUCNews, Tnews, Healthcare, Onshop",Classification,--,--
2023-09-02,Prompt-Learning for Cross-Lingual Relation Extraction,Prompt-XRE,IJCNN ,Cloze,HC,--,--,mBART,ACE05,Cross-Lingual Relation Extraction,--,--
2023-09-20,Towards using Few-Shot Prompt Learning for Automating Model Completion,--,ICSE NIER,Prefix,HC,--,--,GPT-3 text-davinci-002,ModelSet,Domain Modeling Completion,https://github.com/meriembenchaaben/model-completion,--
2023-09-23,Prompt-Learning for Short Text Classification,PLST ,IEEE Transactions on Knowledge and Data Engineering,Cloze,HC,--,--,XLM-RoBERTa-large,"AG News, Snippets, TMN News, Twitter, Ohsumed ",Classification,https://github.com/zhuyiYZU/PLST,--
2023-10-17,Robust scientific text classification using prompt tuning based on data augmentation with L2 regularization,--,Information Processing and Management,Cloze,HC,--,--,"BERT, RoBERTa, SciBERT","ACL-ARC, SciCite",Classification,--,--
2023-11-27,REKP: Refined External Knowledge into Prompt-Tuning for Few-Shot Text Classification,REKP,Mathematics,Cloze,HC,--,--,RoBERTa,"AG news, Yahoo, IMDB, Amazon",Classification,--,--
2024-02-13,Leveraging Chain-of-Thought to Enhance Stance Detection with Prompt-Tuning,PSDCOT,Mathematics,Cloze,HC,--,--,RoBERTa-large,"SemEval-2016 Task 6,  P-stance, ISD, VAST",Stance Detection,https://github.com/Szu-Ddj/PSDCOT,--
2024-02-20,Prompt to Transfer: Sim-to-Real Transfer for Traffic Signal Control with Prompt Learning,PromptGAT,AAAI,Prefix,HC,--,--,GPT-4,"Cityflow, SUMO",Traffic Signal Control ,https://github.com/DaRL-LibSignal/PromptGAT,--
2024-06-01,Enhancing Cross-Lingual Sarcasm Detection by a Prompt Learning Framework with Data Augmentation and Contrastive Learning,PDC,Electronics (Switzerland),Cloze,HC,--,--,XLM-RoBERTa ,"News Headlines Dataset, A Balanced Chinese Internet Sarcasm Corpus, A New Benchmark Dataset",Sarcasm Detection,--,--
2024-08-12,Prompt Tuning on Graph-Augmented Low-Resource Text Classification,G2P2,IEEE Transactions on Knowledge and Data Engineering,Cloze,HC,--,--,"BERT, RoBERTa ","Cora, Amazon Reviews",Classification,--,--
2024-08-20,TopicTag: Automatic Annotation of NMF Topic Models Using Chain of Thought and Prompt Tuning with LLMs,TopicTag,DocEng,Prefix,HC,--,--,"Mistral-7BInstruct-v0.2, Mistral-7B-Instruct-v0.3, MetaLlama-3-8B-Instruct, Meta-Llama-3-70B-Instruct, GPT-4o.",Created,Topic Labeling,--,--
2024-08-23,Prompt learning for metonymy resolution: Enhancing performance with internal prior knowledge of pre-trained language models,PromptMR,Knowledge-Based Systems,Cloze,HC,--,--,T5-base,"SemEval, ReLocaR, CoNLL",Metonymy Resolution,https://github.com/albert-jin/PromptTuning2MetonymyResolution,--
2024-11-01,Application of Prompt Learning Models in Identifying the Collaborative Problem Solving Skills in an Online Task,--,CSCW,Cloze,HC,--,--,"T5, BERT, RoBERTa, GPT-2",CPS,Classification,--,--
2022-11-09,No more fine-tuning? an experimental evaluation of prompt tuning in code intelligence,--,ESEC/FSE,--,--,--,--,--,--,--,https://github.com/adf1178/PT4Code,Study
2023-08-11,Clinical Prompt Learning With Frozen Language Models,--,IEEE Transactions on Neural Networks and Learning Systems,--,--,--,--,--,--,--,https://github.com/NtaylorOX/Public_Clinical_Prompt,Study
2024-03-26,Model tuning or prompt Tuning? a study of large language models for clinical concept and relation extraction,--,Journal of Biomedical Informatics,--,--,--,--,--,--,--,--,Study
2024-04-15,Leveraging Pretrained Language Models for Enhanced Entity Matching: A Comprehensive Study of Fine-Tuning and PromptLearning Paradigms,--,International Journal of Intelligent Systems,--,--,--,--,--,--,--,https://github.com/Briskyu/entity_matching,Study
2024-05-23,You Only Prompt Once: On the Capabilities of Prompt Learning on Large Language Models to Tackle Toxic Content,--,IEEE SP,--,--,--,--,--,--,--,https://github.com/xinleihe/toxic-prompt,Study
2024-07-18,Exploring Universal Intrinsic Task Subspace for Few-Shot Learning via Prompt Tuning,--,IEEE/ACM Transactions on Audio Speech and Language Processing,--,--,--,--,--,--,--,https://github.com/thunlp/Intrinsic-Prompt-Tuning,Study
2024-08-25,Graph Intelligence with Large Language Models and Prompt Learning,--,KDD,--,--,--,--,--,--,--,--,Study
2022-07-23,PPT: Backdoor Attacks on Pre-trained Models via Poisoned Prompt Tuning,--,IJCAI,--,--,--,--,--,--,--,--,Discarded
2023-02-07,Heterogeneous Region Embedding with Prompt Learning,--,AAAI,--,--,--,--,--,--,--,--,Discarded
2023-04-30,Denoising and Prompt-Tuning for Multi-Behavior Recommendation,--,WWW,--,--,--,--,--,--,--,--,Discarded
2023-04-30,Structure Pretraining and Prompt Tuning for Knowledge Graph Transfer,--,WWW,--,--,--,--,--,--,--,--,Discarded
2023-05-17,PROMPT: Learning dynamic resource allocation policies for network applications,--,Future Generation Computer Systems,--,--,--,--,--,--,--,--,Discarded
2023-06-17,À-la-carte Prompt Tuning (APT): Combining Distinct Data Via Composable Prompting,--,CVPR,--,--,--,--,--,--,--,--,Discarded
2023-06-17,Decomposed Soft Prompt Guided Fusion Enhancing for Compositional Zero-Shot Learning,--,CVPR,--,--,--,--,--,--,--,--,Discarded
2023-06-17,Probabilistic Prompt Learning for Dense Prediction,--,CVPR,--,--,--,--,--,--,--,--,Discarded
2023-06-17,Texts as Images in Prompt Tuning for Multi-Label Image Recognition,--,CVPR,--,--,--,--,--,--,--,--,Discarded
2023-06-17,Visual Prompt Tuning for Generative Transfer Learning,--,CVPR,--,--,--,--,--,--,--,--,Discarded
2023-06-17,Visual-Language Prompt Tuning with Knowledge-Guided Context Optimization,--,CVPR,--,--,--,--,--,--,--,--,Discarded
2023-06-17,VoP: Text-Video Co-Operative Prompt Tuning for Cross-Modal Retrieval,--,CVPR,--,--,--,--,--,--,--,--,Discarded
2023-06-17,Zero-Shot Generative Model Adaptation via Image-Specific Prompt Learning,--,CVPR,--,--,--,--,--,--,--,--,Discarded
2023-06-28,Multimodal Prompt Learning in Emotion Recognition Using Context and Audio Information,--,Mathematics,--,--,--,--,--,--,--,--,Discarded
2023-08-19,Black-box Prompt Tuning for Vision-Language Model as a Service,--,IJCAI,--,--,--,--,--,--,--,--,Discarded
2023-08-19,Hierarchical Prompt Learning for Compositional Zero-Shot Recognition,--,IJCAI,--,--,--,--,--,--,--,--,Discarded
2024-01-13,Prompt tuning for parameter-efficient medical image segmentation,--,Medical Image Analysis,--,--,--,--,--,--,--,--,Discarded
2024-02-20,Concept-Guided Prompt Learning for Generalization in Vision-Language Models,--,AAAI,--,--,--,--,--,--,--,--,Discarded
2024-02-20,LION: Implicit Vision Prompt Tuning,--,AAAI,--,--,--,--,--,--,--,--,Discarded
2024-02-20,Memory-Efficient Prompt Tuning for Incremental Histopathology Classification,--,AAAI,--,--,--,--,--,--,--,--,Discarded
2024-02-20,Multi-Prompts Learning with Cross-Modal Alignment for Attribute-Based Person Re-identification,--,AAAI,--,--,--,--,--,--,--,--,Discarded
2024-02-20,Robust Test-Time Adaptation for Zero-Shot Prompt Tuning,--,AAAI,--,--,--,--,--,--,--,--,Discarded
2024-02-20,UniCell: Universal Cell Nucleus Classification via Prompt Learning,--,AAAI,--,--,--,--,--,--,--,--,Discarded
2024-02-20,Weak Distribution Detectors Lead to Stronger Generalizability of Vision-Language Prompt Tuning,--,AAAI,--,--,--,--,--,--,--,--,Discarded
2024-03-04,Motif-based Prompt Learning for Universal Cross-domain Recommendation,--,WSDM,--,--,--,--,--,--,--,--,Discarded
2024-04-14,Are Soft Prompts Good Zero-Shot Learners for Speech Recognition?,--,ICASSP,--,--,--,--,--,--,--,--,Discarded
2024-04-14,Audio Prompt Tuning for Universal Sound Separation,--,ICASSP,--,--,--,--,--,--,--,--,Discarded
2024-04-14,Audio-Free Prompt Tuning for Language-Audio Models,--,ICASSP,--,--,--,--,--,--,--,--,Discarded
2024-04-14,DAP: Domain-Aware Prompt Learning for Vision-and-Language Navigation,--,ICASSP,--,--,--,--,--,--,--,--,Discarded
2024-04-14,Enhancing Multilingual Speech Recognition through Language Prompt Tuning and Frame-Level Language Adapter,--,ICASSP,--,--,--,--,--,--,--,--,Discarded
2024-04-14,Extending Whisper with Prompt Tuning to Target-Speaker ASR,--,ICASSP,--,--,--,--,--,--,--,--,Discarded
2024-05-13,GraphPro: Graph Pre-training and Prompt Learning for Recommendation,--,WWW,--,--,--,--,--,--,--,--,Discarded
2024-06-02,Fourier Prompt Tuning for Modality-Incomplete Scene Segmentation,--,IV,--,--,--,--,--,--,--,--,Discarded
2024-06-10,Facilitating Human Feedback for GenAI Prompt Optimization,--,HHAI,--,--,--,--,--,--,--,--,Discarded
2024-06-16,Active Prompt Learning in Vision Language Models,--,CVPR,--,--,--,--,--,--,--,--,Discarded
2024-06-16,BadCLIP: Trigger-Aware Prompt Learning for Backdoor Attacks on CLIP,--,CVPR,--,--,--,--,--,--,--,--,Discarded
2024-06-16,CFPL-FAS: Class Free Prompt Learning for Generalizable Face Anti-Spoofing,--,CVPR,--,--,--,--,--,--,--,--,Discarded
2024-06-16,DePT: Decoupled Prompt Tuning,--,CVPR,--,--,--,--,--,--,--,--,Discarded
2024-06-16,Dynamic Adapter Meets Prompt Tuning: Parameter-Efficient Transfer Learning for Point Cloud Analysis,--,CVPR,--,--,--,--,--,--,--,--,Discarded
2024-06-16,ID-like Prompt Learning for Few-Shot Out-of-Distribution Detection,--,CVPR,--,--,--,--,--,--,--,--,Discarded
2024-06-16,On the Test-Time Zero-Shot Generalization of Vision-Language Models: Do we Really need Prompt Learning?,--,CVPR,--,--,--,--,--,--,--,--,Discarded
2024-06-16,ProTeCt: Prompt Tuning for Taxonomic Open Set Classification,--,CVPR,--,--,--,--,--,--,--,--,Discarded
2024-06-16,VSCode: General Visual Salient and Camouflaged Object Detection with 2D Prompt Learning,--,CVPR,--,--,--,--,--,--,--,--,Discarded
2024-07-01,Thread Detection and Response Generation Using Transformers with Prompt Optimisation,--,SPCOM,--,--,--,--,--,--,--,--,Discarded
2024-07-14,GPT4Rec: Graph Prompt Tuning for Streaming Recommendation,--,SIGIR,--,--,--,--,--,--,--,--,Discarded
2024-07-15,Adaptive Prompt Learning with Negative Textual Semantics and Uncertainty Modeling for Universal Multi-Source Domain Adaptation,--,ICME,--,--,--,--,--,--,--,--,Discarded
2024-08-01,A novel prompt-tuning method: Incorporating scenario-specific concepts into a verbalizer[Formula presented],--,Expert Systems with Applications,--,--,--,--,--,--,--,--,Discarded
2024-08-25,Cross-Context Backdoor Attacks against Graph Prompt Learning,--,KDD,--,--,--,--,--,--,--,--,Discarded
2024-08-25,POND: Multi-Source Time Series Domain Adaptation with Information-Aware Prompt Tuning,--,KDD,--,--,--,--,--,--,--,--,Discarded
2024-09-01,Drone-Based Visible–Thermal Object Detection with Transformers and Prompt Tuning,--,Drones,--,--,--,--,--,--,--,--,Discarded
2024-09-29,Compound Text-Guided Prompt Tuning via Image-Adaptive Cues,--,AAAI,--,--,--,--,--,--,--,--,Discarded
2024-10-26,Balancing Privacy and Robustness in Prompt Learning for Large Language Models,--,Mathematics,--,--,--,--,--,--,--,--,Discarded
2024-11-08,Application of Prompt Learning Models in Identifying the Collaborative Problem Solving Skills in an Online Task,--,ACM on Human-Computer Interaction,--,--,--,--,--,--,--,--,Discarded
